eid,cycle,firmware
62161,2011-2012,1.8.0
62163,2011-2012,2.4.0
62164,2011-2012,2.4.0
62165,2011-2012,1.9.0
62166,2011-2012,1.9.0
62168,2011-2012,2.3.0
62169,2011-2012,2.4.0
62170,2011-2012,2.2.0
62171,2011-2012,1.5.0
62172,2011-2012,1.8.0
62174,2011-2012,2.4.0
62177,2011-2012,2.2.0
62178,2011-2012,1.9.0
62179,2011-2012,2.3.0
62180,2011-2012,2.4.0
62183,2011-2012,2.5.0
62184,2011-2012,2.2.0
62186,2011-2012,1.5.0
62187,2011-2012,2.3.0
62189,2011-2012,2.4.0
62190,2011-2012,1.7.0
62191,2011-2012,2.4.0
62192,2011-2012,1.9.0
62193,2011-2012,2.4.0
62194,2011-2012,2.2.0
62197,2011-2012,1.7.0
62198,2011-2012,2.4.0
62199,2011-2012,2.2.0
62200,2011-2012,2.4.0
62202,2011-2012,2.2.0
62203,2011-2012,1.8.0
62205,2011-2012,2.4.0
62206,2011-2012,2.3.0
62208,2011-2012,1.7.0
62209,2011-2012,1.5.0
62210,2011-2012,2.4.0
62214,2011-2012,2.5.0
62215,2011-2012,2.4.0
62217,2011-2012,1.5.0
62218,2011-2012,1.7.0
62220,2011-2012,2.4.0
62221,2011-2012,2.5.0
62222,2011-2012,1.7.0
62223,2011-2012,2.4.0
62224,2011-2012,1.7.0
62225,2011-2012,2.3.0
62226,2011-2012,2.5.0
62227,2011-2012,1.9.0
62228,2011-2012,1.8.0
62229,2011-2012,2.4.0
62230,2011-2012,2.5.0
62231,2011-2012,1.7.0
62232,2011-2012,2.5.0
62233,2011-2012,1.5.0
62234,2011-2012,2.4.0
62236,2011-2012,1.7.0
62237,2011-2012,2.4.0
62239,2011-2012,2.0.0
62240,2011-2012,2.4.0
62242,2011-2012,2.5.0
62245,2011-2012,2.4.0
62248,2011-2012,1.8.0
62249,2011-2012,1.8.0
62250,2011-2012,2.3.0
62251,2011-2012,2.3.0
62252,2011-2012,2.3.0
62253,2011-2012,1.9.0
62255,2011-2012,2.0.0
62256,2011-2012,1.9.0
62258,2011-2012,2.3.0
62259,2011-2012,1.9.0
62260,2011-2012,1.8.0
62261,2011-2012,2.5.0
62264,2011-2012,2.2.0
62265,2011-2012,2.5.0
62267,2011-2012,2.5.0
62268,2011-2012,1.7.0
62269,2011-2012,1.9.0
62271,2011-2012,2.4.0
62272,2011-2012,2.5.0
62275,2011-2012,2.4.0
62276,2011-2012,2.1.0
62277,2011-2012,1.5.0
62278,2011-2012,2.4.0
62279,2011-2012,2.4.0
62280,2011-2012,2.2.0
62281,2011-2012,2.1.0
62282,2011-2012,2.2.0
62284,2011-2012,2.4.0
62285,2011-2012,2.4.0
62286,2011-2012,2.4.0
62287,2011-2012,1.5.0
62288,2011-2012,2.3.0
62289,2011-2012,2.4.0
62291,2011-2012,2.4.0
62293,2011-2012,2.5.0
62294,2011-2012,1.9.0
62295,2011-2012,1.9.0
62296,2011-2012,2.4.0
62297,2011-2012,2.5.0
62298,2011-2012,1.8.0
62299,2011-2012,2.5.0
62300,2011-2012,2.4.0
62301,2011-2012,1.5.0
62302,2011-2012,2.3.0
62303,2011-2012,1.5.0
62304,2011-2012,1.9.0
62305,2011-2012,1.9.0
62307,2011-2012,1.9.0
62308,2011-2012,2.4.0
62309,2011-2012,2.3.0
62310,2011-2012,1.9.0
62311,2011-2012,1.8.0
62312,2011-2012,2.3.0
62313,2011-2012,1.5.0
62314,2011-2012,1.9.0
62315,2011-2012,2.5.0
62317,2011-2012,1.8.0
62320,2011-2012,2.2.0
62321,2011-2012,2.2.0
62324,2011-2012,2.4.0
62325,2011-2012,1.5.0
62326,2011-2012,2.4.0
62327,2011-2012,1.9.0
62328,2011-2012,1.5.0
62330,2011-2012,1.8.0
62331,2011-2012,2.0.0
62332,2011-2012,2.5.0
62333,2011-2012,2.2.0
62334,2011-2012,2.4.0
62335,2011-2012,2.4.0
62336,2011-2012,2.5.0
62337,2011-2012,1.9.0
62339,2011-2012,1.5.0
62341,2011-2012,1.9.0
62342,2011-2012,2.5.0
62343,2011-2012,1.9.0
62346,2011-2012,2.2.0
62347,2011-2012,2.5.0
62349,2011-2012,2.2.0
62350,2011-2012,1.9.0
62351,2011-2012,2.0.0
62353,2011-2012,2.4.0
62354,2011-2012,2.4.0
62355,2011-2012,2.2.0
62357,2011-2012,1.8.0
62359,2011-2012,2.0.0
62360,2011-2012,1.5.0
62361,2011-2012,1.5.0
62362,2011-2012,1.9.0
62363,2011-2012,1.7.0
62366,2011-2012,2.4.0
62367,2011-2012,2.4.0
62368,2011-2012,2.4.0
62369,2011-2012,1.7.0
62370,2011-2012,2.4.0
62371,2011-2012,1.8.0
62373,2011-2012,2.2.0
62374,2011-2012,2.1.0
62375,2011-2012,2.3.0
